Dosya,Bozuk Link
index.mdx,/tr/operasyon/yaygın-sorunlar-cozumleri/apinizer-sorunlari
index.mdx,/tr/operasyon/yaygın-sorunlar-cozumleri/apinizer-sorunlari
essentials/images.mdx,/images/portal/portal_ayarlari_genel.png
tr/api-portal/hesaplar-gelistiriciler.mdx,/images/portal/hesaplar_gelistiriciler_kaydol_buton.png
tr/api-portal/hesaplar-gelistiriciler.mdx,/images/portal/hesaplar_gelistiriciler_kayit_formu.png
tr/api-portal/hesaplar-gelistiriciler.mdx,/images/portal/hesaplar_gelistiriciler_email_onay.png
tr/api-portal/hesaplar-gelistiriciler.mdx,/images/portal/hesaplar_gelistiriciler_onay_basarili.png
tr/api-portal/hesaplar-gelistiriciler.mdx,/images/portal/hesaplar_gelistiriciler_giris.png
tr/operasyon/genel-bakis.mdx,/tr/operasyon/yaygın-sorunlar-cozumleri/apinizer-sorunlari
tr/operasyon/genel-bakis.mdx,/tr/operasyon/yaygın-sorunlar-cozumleri/authentication-failures
tr/admin/zamanlanmis-isler.mdx,/integration-flow
tr/admin/zamanlanmis-isler.mdx,/alerts
tr/admin/zamanlanmis-isler.mdx,/monitoring
tr/release-notes/degisiklik-gunlugu.mdx,/tr/release-notes/release-notes-2023
tr/release-notes/degisiklik-gunlugu.mdx,/tr/release-notes/release-notes-2022
tr/release-notes/degisiklik-gunlugu.mdx,/tr/release-notes/release-notes-2021
tr/release-notes/destegi-sonlandirilanlar-ve-kaldirilanlar.mdx,/tr/release-notes/changelog
tr/release-notes/surum-notlari-2025.mdx,/tr/gelistirici/api-proxy-konfigurasyonu/api-proxy-ayarlari#bakim-modu
tr/release-notes/surum-notlari-2025.mdx,/tr/admin/sistem-ayarlari/gateway-environments#deployment-timeout
tr/release-notes/surum-notlari-2025.mdx,/tr/admin/sistem-ayarlari/gateway-environments#tls-ayarlari
tr/release-notes/surum-notlari-2024.mdx,/tr/gelistirici/api-proxy-konfigurasyonu/cache-settings#metot-bazinda
tr/release-notes/surum-notlari-2024.mdx,/tr/gelistirici/api-proxy-konfigurasyonu/cache-settings#endpoint-bazinda
tr/release-notes/surum-notlari-2024.mdx,/api-reference/users
tr/release-notes/surum-notlari-2024.mdx,/tr/gelistirici/test-debug-araclari/xml-donusturme-test#xml-to-json
tr/release-notes/surum-notlari-2024.mdx,/tr/gelistirici/test-debug-araclari/json-donusturme-test#json-to-xml
tr/release-notes/surum-notlari-2024.mdx,/tr/gelistirici/api-proxy-konfigurasyonu/error-response-template
tr/apinizer-anlama/sozluk.mdx,/tr/baslamadan-once/rolunuzu-secin
tr/apinizer-anlama/uyumluluk-ve-veri-koruma.mdx,/tr/admin/api-proxy-trafik-gizlilik-ayarlari
tr/apinizer-anlama/uyumluluk-ve-veri-koruma.mdx,/tr/admin/denetim
tr/apinizer-anlama/uyumluluk-ve-veri-koruma.mdx,/tr/admin/log-kayitlari/uygulama-loglari
tr/apinizer-anlama/uyumluluk-ve-veri-koruma.mdx,/tr/admin/api-proxy-trafik-gizlilik-ayarlari
tr/apinizer-anlama/uyumluluk-ve-veri-koruma.mdx,/tr/admin/guvenlik-yonetimi
tr/analytic/dashboard.mdx,/tr/admin/baglanti-yonetimi/elasticsearch-monitor
tr/analytic/analytics-reports/raporlar.mdx,/tr/analytic/analytics-reports/istek-almayan-endpoint
tr/analytic/analytics-reports/raporlar.mdx,/tr/analytic/analytics-reports/istek-atmayan-client
tr/apinizer-anlama/temel-bilesenler/izleme-bileseni.mdx,/tr/admin/prometheus-grafana
tr/apinizer-anlama/temel-bilesenler/identity-manager.mdx,/tr/admin/kimlik-yonetimi-identity-management
tr/apinizer-anlama/temel-bilesenler/identity-manager.mdx,/tr/admin/kimlik-yonetimi-identity-management/ldap-entegrasyonu
tr/apinizer-anlama/temel-bilesenler/api-designer.mdx,/tr/gelistirici/api-tasarimi/openapi
tr/apinizer-anlama/temel-bilesenler/api-manager.mdx,/tr/admin/management-api
tr/apinizer-anlama/temel-bilesenler/api-portal.mdx,/tr/portal/api-portal-kullanim
tr/apinizer-anlama/temel-bilesenler/api-portal.mdx,/tr/admin/api-portal-yapilandirma
tr/apinizer-anlama/temel-kavramlar/api-proxy-group.mdx,/tr/admin/kimlik-yonetimi-identity-management/credential-management/api-proxy-group-acl
tr/apinizer-anlama/temel-kavramlar/baglantilar.mdx,/tr/admin/entegrasyon-otomasyon/baglanti-yonetimi/connection-types-overview
tr/apinizer-anlama/temel-kavramlar/baglantilar.mdx,/tr/gelistirici/api-proxy-turleri/db-2-api
tr/apinizer-anlama/temel-kavramlar/ortam-nedir.mdx,/tr/admin/gateway-ortamlari/environment-creation
tr/apinizer-anlama/temel-kavramlar/ortam-nedir.mdx,/tr/admin/gateway-ortamlari/environment-creation
tr/apinizer-anlama/temel-kavramlar/proje-nedir.mdx,/tr/admin/proje-yonetimi/project-creation-setup
tr/apinizer-anlama/temel-kavramlar/proje-nedir.mdx,/tr/admin/export-import/export-project
tr/apinizer-anlama/temel-kavramlar/environment-variable.mdx,/tr/admin/gizlilik-yonetimi-secret-manager/certificate-management
tr/apinizer-anlama/deployment/genel-bakis.mdx,/tr/apinizer-anlama/sistem/kapasite-planlama
tr/tutorials/api-analitigi-ve-gozlemlenebilirlik-senaryolari/kibana-api-trafik-log-gorsellestirme.mdx,/tr/operasyon/elasticsearch/elasticsearch-manuel-ilm-politikasi-ve-template-olusturma
tr/tutorials/api-analitigi-ve-gozlemlenebilirlik-senaryolari/kibana-api-trafik-log-gorsellestirme.mdx,/tr/operasyon/elasticsearch/elasticsearch-manuel-ilm-politikasi-ve-template-olusturma
tr/tutorials/api-portal-senaryolari/api-portal-api-developer-islemleri.mdx,/tr/api-portal/goeruenuem-ve-tema
tr/tutorials/api-portal-senaryolari/api-portal-api-developer-islemleri.mdx,/tr/sorun-giderme/sss
tr/tutorials/api-proxy-senaryolari/mtls-kimlik-dogrulama.mdx,/tr/gelistirici/politikalar/mtls-authentication
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-13-19.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-13-57.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-14-40.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-30-57.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-13-57.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-14-40.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-34-59.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-13-57.png
tr/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/system-loglar-syslog-aktarma.mdx,/images/tutorials/nasil-yapilir-kilavuzlari/yonetici-kilavuzlari/image-2025-6-13_16-14-40.png
tr/entegrasyon-otomasyon/baglanti-yonetimi/logback.mdx,/tr/entegrasyon-otomasyon/baglanti-yonetimi/connection-types-overview
tr/entegrasyon-otomasyon/baglanti-yonetimi/syslog.mdx,/tr/entegrasyon-otomasyon/baglanti-yonetimi/connection-types-overview
tr/entegrasyon-otomasyon/konnektorler/activemq-konnektor.mdx,/tr/entegrasyon-otomasyon/baglanti-yonetimi/activemq
tr/entegrasyon-otomasyon/konnektorler/logback-konnektor.mdx,/tr/entegrasyon-otomasyon/baglanti-yonetimi/logback-connections
tr/entegrasyon-otomasyon/konnektorler/rabbitmq-konnektor.mdx,/tr/entegrasyon-otomasyon/baglanti-yonetimi/rabbitmq
tr/admin/kullanici-erisim-yonetimi/ldap-active-directory-baglantisi.mdx,/ortam-degiskenleri-environment-variables
tr/admin/sistem-ayarlari/genel-bakis.mdx,/tr/admin/sistem-ayarlari/on-tanimli-degerler/cors-headers
tr/admin/sistem-ayarlari/genel-bakis.mdx,/tr/admin/sistem-ayarlari/on-tanimli-degerler/cors-origin-values
tr/admin/sistem-ayarlari/genel-bakis.mdx,/tr/admin/sistem-ayarlari/on-tanimli-degerler/filter-rules
tr/admin/sistem-ayarlari/genel-bakis.mdx,/tr/admin/sistem-ayarlari/on-tanimli-degerler/http-request-header-names
tr/admin/sistem-ayarlari/genel-bakis.mdx,/tr/admin/sistem-ayarlari/on-tanimli-degerler/http-request-header-values
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-42-14.png
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-43-22.png
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-45-20.png
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-46-34.png
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-47-11.png
tr/admin/proje-yonetimi/proje-uyeleri.mdx,/images/admin/proje-yonetimi/image2021-12-3_10-49-17.png
tr/admin/proje-yonetimi/proje-olusturma.mdx,/tr/admin/proje-yonetimi/project-members
tr/admin/sunucu-yonetimi/genel-bakis.mdx,/tr/admin/sunucu-yonetimi/api-manager
tr/operasyon/yaygın-sorunlar-cozumleri/high-latency-slow-response-times.mdx,/tr/sorun-giderme/performans-tuning
tr/operasyon/yaygın-sorunlar-cozumleri/high-latency-slow-response-times.mdx,/tr/sorun-giderme/performans-tuning/network-optimization
tr/operasyon/yaygın-sorunlar-cozumleri/high-latency-slow-response-times.mdx,/tr/sorun-giderme/performans-tuning/database-query-optimization
tr/operasyon/yaygın-sorunlar-cozumleri/high-latency-slow-response-times.mdx,/tr/sorun-giderme/performans-tuning/caching-strategy
tr/operasyon/yaygın-sorunlar-cozumleri/memory-leaks-oom-errors.mdx,/tr/sorun-giderme/performans-tuning/jvm-tuning
tr/operasyon/yaygın-sorunlar-cozumleri/memory-leaks-oom-errors.mdx,/tr/sorun-giderme/performans-tuning
tr/operasyon/yaygın-sorunlar-cozumleri/memory-leaks-oom-errors.mdx,/tr/sorun-giderme/log-analizi-kilavuzu
tr/operasyon/yaygın-sorunlar-cozumleri/authentication-failures.mdx,/tr/sorun-giderme/hata-kodlari-referansi/authentication-errors
tr/operasyon/yaygın-sorunlar-cozumleri/api-proxy-deployment-issues.mdx,/tr/admin/sunucu-yonetimi/environment
tr/operasyon/yaygın-sorunlar-cozumleri/api-proxy-deployment-issues.mdx,/tr/sorun-giderme
tr/operasyon/yaygın-sorunlar-cozumleri/database-connection-issues.mdx,/tr/sorun-giderme/performans-tuning/connection-pooling
